"HH_ID","ID","age","sex","birth_date","ID_mother","ID_father","date_prev_birth","num_births","ID_partner","union","child","mother","father","parent","HH_adults","age_first_birth","original_ID","hh_position","partner","main_parent","random_inf","enter_pop","comm_hh_prop","child18_hh","disease_state","inf_time","age_group_hh","age_group_pop","age_group","age_group_trans","parent_pop","transition","event_date","age_partner","immigrant","HH_size","HH_children","lipro_child_hh","NH"
4731648,8394696,34,"F",1977-04-12,NA,NA,2010-10-10,3,NA,0,0,1,0,1,2,30.9917808219178,"C36363CEF53314B0","single_parent",0,NA,NA,NA,NA,NA,NA,NA,3,3,20,20,0,NA,2011-04-09,NA,NA,4,3,3,0
4731648,8854248,1,"F",2010-10-10,8394696,3972826,NA,NA,NA,0,1,0,0,0,2,NA,"CE0D7578DB9AF9DC","child",1,8394696,NA,NA,NA,NA,NA,NA,1,1,2,2,1,NA,2011-04-09,NA,NA,4,3,3,0
4731649,8398681,31,"F",1980-12-20,NA,NA,2007-11-01,2,NA,0,0,1,0,1,2,24.1616438356164,"C37B0954557AE511","single_parent",0,NA,NA,NA,NA,NA,NA,NA,3,3,16,16,0,NA,2011-08-10,NA,NA,3,2,2,0
4731649,2424354,6,"F",2005-02-11,8398681,5410838,NA,NA,NA,0,1,0,0,0,2,NA,"386ED81787526D77","child",1,8398681,NA,NA,NA,NA,NA,NA,1,1,5,5,1,NA,2011-08-10,NA,NA,3,2,2,0
4731649,7039512,4,"F",2007-11-01,8398681,5410838,NA,NA,NA,0,1,0,0,0,2,NA,"A3D0BD2DCD3A1CF0","child",1,8398681,NA,NA,NA,NA,NA,NA,1,1,3,3,1,NA,2011-08-10,NA,NA,3,2,2,0
4731650,8440113,47,"F",1964-03-02,NA,NA,NA,0,NA,0,0,0,0,0,2,NA,"C4727E3D34BDB187","single",0,NA,NA,NA,NA,NA,NA,NA,3,3,25,25,0,NA,2011-10-20,NA,NA,1,0,0,0
4731651,8451781,36,"F",1975-01-19,NA,NA,2006-03-23,2,NA,0,0,1,0,1,2,29.5780821917808,"C4B776EFF296D59C","single_parent",0,NA,NA,NA,NA,NA,NA,NA,3,3,18,18,0,NA,2011-02-11,NA,NA,3,2,2,0
4731651,5234798,7,"M",2004-08-10,8451781,3230820,NA,NA,NA,0,1,0,0,0,2,NA,"79CA7FC92B6D9CDE","child",1,8451781,NA,NA,NA,NA,NA,NA,1,1,4,4,1,NA,2011-02-11,NA,NA,3,2,2,0
4731651,8688225,5,"M",2006-03-23,8451781,3230820,NA,NA,NA,0,1,0,0,0,2,NA,"CA33B32CC5F8657B","child",1,8451781,NA,NA,NA,NA,NA,NA,1,1,3,3,1,NA,2011-02-11,NA,NA,3,2,2,0
4731652,1592908,8,"M",2003-11-03,8482331,4838469,NA,NA,NA,0,1,0,0,0,2,NA,"251634A5F9CB54B5","child",1,8482331,NA,NA,NA,NA,NA,NA,1,1,6,6,1,NA,2011-02-09,NA,NA,4,3,3,0
4731652,8482331,37,"F",1974-11-11,NA,NA,2005-10-10,3,NA,0,0,1,0,1,2,27.0301369863014,"C56DB31E337E870D","single_parent",0,NA,NA,NA,NA,NA,NA,NA,3,3,20,20,0,NA,2011-02-09,NA,NA,4,3,3,0
4731652,6036231,10,"M",2001-11-15,8482331,4838469,NA,NA,NA,0,1,0,0,0,2,NA,"8C788D729E255B83","child",1,8482331,NA,NA,NA,NA,NA,NA,1,1,5,5,1,NA,2011-02-09,NA,NA,4,3,3,0
4731652,1687657,6,"M",2005-10-10,8482331,4838469,NA,NA,NA,0,1,0,0,0,2,NA,"27482962C5ECE360","child",1,8482331,NA,NA,NA,NA,NA,NA,1,1,4,4,1,NA,2011-02-09,NA,NA,4,3,3,0
4731653,8516637,27,"F",1984-11-16,NA,NA,NA,0,NA,0,0,0,0,0,2,NA,"C63B24847F5F9447","single",0,NA,NA,NA,NA,NA,NA,NA,3,3,15,15,0,NA,2011-12-07,NA,NA,1,0,0,0
4731654,8616215,43,"F",1968-09-30,NA,NA,2006-06-27,2,NA,0,0,1,0,1,2,31.4,"C88A6A29BB468442","single_parent",0,NA,NA,NA,NA,NA,NA,NA,3,3,23,23,0,NA,2011-03-01,NA,NA,3,2,2,0
4731654,2845150,11,"F",2000-02-16,8616215,10282768,NA,NA,NA,0,1,0,0,0,2,NA,"4238EAF74CD567CD","child",1,8616215,NA,NA,NA,NA,NA,NA,1,1,6,6,1,NA,2011-03-01,NA,NA,3,2,2,0
4731654,2810539,5,"F",2006-06-27,8616215,10282768,NA,NA,NA,0,1,0,0,0,2,NA,"4169935D10B5CEEB","child",1,8616215,NA,NA,NA,NA,NA,NA,1,1,4,4,1,NA,2011-03-01,NA,NA,3,2,2,0
4731655,9797135,8,"M",2003-05-28,8711448,4221188,NA,NA,NA,0,1,0,0,0,3,NA,"E4033346C55146A6","child",1,8711448,NA,NA,NA,NA,NA,NA,1,1,5,5,1,NA,2011-06-12,NA,NA,3,2,2,0
4731655,1396199,9,"F",2002-02-05,8711448,4221188,NA,NA,NA,0,1,0,0,0,3,NA,"207CBDA8F37B6E1E","child",1,8711448,NA,NA,NA,NA,NA,NA,1,1,6,6,1,NA,2011-06-12,NA,NA,3,2,2,0
